Sequences,"A,a","E,e","I,i","O,o","U,u",Consonants
f2KvG9Djk,0,0,0,0,0,9
sbknBy4BRP,0,0,0,0,0,10
jxiyKWA,1,0,1,0,0,5
hsH8cgnT,0,0,0,0,0,8
Yk9JnKzl8,0,0,0,0,0,9
oQXm58pcU,0,0,0,1,1,7
CXQCrT9DE9,0,1,0,0,0,9
KIi38yE,0,1,2,0,0,4
exfHOPNk,0,1,0,1,0,6
jEj0v6do,0,1,0,1,0,6
rHsw50,0,0,0,0,0,6
xKiyGH3rv4,0,0,1,0,0,9
5yUxOBc,0,0,0,1,1,5
lfquIWJ,0,0,1,0,1,5
K1O1a3EIrc,1,1,1,1,0,6
g2zLOKzAWx,1,0,0,1,0,8
Vxr9OrzP,0,0,0,1,0,7
fRB8ESlPv,0,1,0,0,0,8
4E7yFq9EJ,0,2,0,0,0,7
Ut3XAYTZ,1,0,0,0,1,6
YBGYwTr,0,0,0,0,0,7
Y9ahQJa,2,0,0,0,0,5
DYj2rR2,0,0,0,0,0,7
uqKBIpDpi,0,0,2,0,1,6
dqjs7vPm,0,0,0,0,0,8
L1VtP9Rp,0,0,0,0,0,8
V8ERDXMJY,0,1,0,0,0,8
ZU7vFJJm,0,0,0,0,1,7
gcMLRV5,0,0,0,0,0,7
2c3BJBK,0,0,0,0,0,7
Q39Ttct1,0,0,0,0,0,8
q1tewjxAp7,1,1,0,0,0,8
boRHKGx0X,0,0,0,1,0,8
hn4nBFTb,0,0,0,0,0,8
B10Gpw8,0,0,0,0,0,7
rmIcQ63,0,0,1,0,0,6
2qaAA7,3,0,0,0,0,3
SToU0EIfCr,0,1,1,1,1,6
2jC1BWEyC,0,1,0,0,0,8
in8wwPCu1,0,0,1,0,1,7
DW2KXg,0,0,0,0,0,6
TIu0LTj,0,0,1,0,1,5
G4AAsMsW,2,0,0,0,0,6
XAa7DPI,2,0,1,0,0,4
boxYMz6,0,0,0,1,0,6
R55ARi,1,0,1,0,0,4
K5l2Jfs,0,0,0,0,0,7
Z6ilfcDLJ6,0,0,1,0,0,9
qXF2AnB,1,0,0,0,0,6
1JZGcHi0,0,0,1,0,0,7
kzXhHeag,1,1,0,0,0,6
p4Pzgl,0,0,0,0,0,6
IKfcQCXJG,0,0,1,0,0,8
0bHstF,0,0,0,0,0,6
WQgKzBjw,0,0,0,0,0,8
oDUwSfcQ,0,0,0,1,1,6
8sMgmvMD,0,0,0,0,0,8
8nicQc7Ec,0,1,1,0,0,7
Jbgpqx,0,0,0,0,0,6
5gSDp3,0,0,0,0,0,6
MRMM0yT6N2,0,0,0,0,0,10
IH5xc8,0,0,1,0,0,5
01wS7w,0,0,0,0,0,6
dVcqrgIq,0,0,1,0,0,7
lC4m2IX7e,0,1,1,0,0,7
76p3PsNMv,0,0,0,0,0,9
grFHbR,0,0,0,0,0,6
FnL8U55Qnr,0,0,0,0,1,9
zLqIqZ,0,0,1,0,0,5
p9zbAx,1,0,0,0,0,5
XO0EDEH8,0,2,0,1,0,5
zvthoB,0,0,0,1,0,5
l6ZYEejep1,0,3,0,0,0,7
K7CbBQK,0,0,0,0,0,7
UwuWNPAh,1,0,0,0,2,5
a5eLzox9z,1,1,0,1,0,6
ilH0BU,0,0,1,0,1,4
8JSeNNKK,0,1,0,0,0,7
ymPH24ZI,0,0,1,0,0,7
ckkSeZPy3k,0,1,0,0,0,9
S2qweQ3aU,1,1,0,0,1,6
Y4T7aD,1,0,0,0,0,5
2x9X9zecF6,0,1,0,0,0,9
xNMeGriW1E,0,2,1,0,0,7
E7gtjHPDmz,0,1,0,0,0,9
sNUN8M8,0,0,0,0,1,6
aNE5F6O0,1,1,0,1,0,5
dftGRTb4kZ,0,0,0,0,0,10
7TFfw9M9p,0,0,0,0,0,9
Xna6DLe,1,1,0,0,0,5
SGR2EJyNF,0,1,0,0,0,8
I5KjYXVO,0,0,1,1,0,6
SfHsaQzP,1,0,0,0,0,7
5icEt5FyB,0,1,1,0,0,7
jLoFrk91oJ,0,0,0,2,0,8
SR34YR,0,0,0,0,0,6
IQRcGHED,0,1,1,0,0,6
kRleq8OAS,1,1,0,1,0,6
Gg2pQF,0,0,0,0,0,6
qKgz5z,0,0,0,0,0,6
p4FJ2UuVh,0,0,0,0,2,7
XACGrAjih,2,0,1,0,0,6
Iyref2,0,1,1,0,0,4
U2D2MCl,0,0,0,0,1,6
k1ygEeDr,0,2,0,0,0,6
Uzjxuk,0,0,0,0,2,4
TSOLWw,0,0,0,1,0,5
LKysnl,0,0,0,0,0,6
6ZRS3qrP,0,0,0,0,0,8
qLlr8RKs,0,0,0,0,0,8
BRbXi31FN,0,0,1,0,0,8
NxceOZDTTc,0,1,0,1,0,8
1VaAoqS,2,0,0,1,0,4
FYSL17C,0,0,0,0,0,7
xExpI5IWfN,0,1,2,0,0,7
29S1jHC,0,0,0,0,0,7
f5MzvU8cku,0,0,0,0,2,8
esLNQB75K,0,1,0,0,0,8
nDQSqKvp95,0,0,0,0,0,10
WL2MIzmUg,0,0,1,0,1,7
4VigDxsC1,0,0,1,0,0,8
De9ESvUCR,0,2,0,0,1,6
3ASJdtRZv,1,0,0,0,0,8
GaOAOwxOi,2,0,1,3,0,3
NXWjm4,0,0,0,0,0,6
fIWzoIADpY,1,0,2,1,0,6
TAo05v,1,0,0,1,0,4
bXY7SIs,0,0,1,0,0,6
uQmIG4r,0,0,1,0,1,5
mEHPM3Qb,0,1,0,0,0,7
160kZn,0,0,0,0,0,6
fDrB0itY,0,0,1,0,0,7
kD6KUfbuWk,0,0,0,0,2,8
OwCHlR4,0,0,0,1,0,6
djJBnNQ,0,0,0,0,0,7
7S4qYbdTv,0,0,0,0,0,9
pygFYcPVk,0,0,0,0,0,9
hoCKxBl,0,0,0,1,0,6
rKvxvDS7,0,0,0,0,0,8
oDqT28NTn,0,0,0,1,0,8
ck1cGx,0,0,0,0,0,6
o0pqEE,0,2,0,1,0,3
Ey4te0AO,1,2,0,1,0,4
j63PLMZ,0,0,0,0,0,7
98BQeA1H0E,1,2,0,0,0,7
VVuoVbEGVh,0,1,0,1,1,7
dtzgTV,0,0,0,0,0,6
2vWCP1z,0,0,0,0,0,7
tAhinWW9Ui,1,0,2,0,1,6
sph5WyKnP6,0,0,0,0,0,10
WMvGS3IkXb,0,0,1,0,0,9
lTudMN1ls,0,0,0,0,1,8
5YPOFH9O,0,0,0,2,0,6
ewOXvd,0,1,0,1,0,4
I1XKFB9jq,0,0,1,0,0,8
ilMM0TY,0,0,1,0,0,6
ITeTy9,0,1,1,0,0,4
Q5MPg9go,0,0,0,1,0,7
VWGbpb,0,0,0,0,0,6
dy0CUE5,0,1,0,0,1,5
FGLmmnVs,0,0,0,0,0,8
vC1S9Ss8I,0,0,1,0,0,8
lv6SQtB,0,0,0,0,0,7
vebtNP2d,0,1,0,0,0,7
tiWK3IT755,0,0,2,0,0,8
tic8GWBy,0,0,1,0,0,7
1XWQ6UYLjX,0,0,0,0,1,9
ebJDGPdAE,1,2,0,0,0,6
YcXLMj8JHb,0,0,0,0,0,10
A5vPL7,1,0,0,0,0,5
UveqmYHN9,0,1,0,0,1,7
74vT9O,0,0,0,1,0,5
sRaEUPWHFL,1,1,0,0,1,7
BgTt6Fk,0,0,0,0,0,7
k9FBgxTREp,0,1,0,0,0,9
yWjxLGW,0,0,0,0,0,7
6uPFLgkM8M,0,0,0,0,1,9
wLy2srAHoF,1,0,0,1,0,8
IGkjcS0ttw,0,0,1,0,0,9
S4iHMnm,0,0,1,0,0,6
yYdMNmY,0,0,0,0,0,7
y4M9EnQG,0,1,0,0,0,7
KE4a4e,1,2,0,0,0,3
48zJ6tU,0,0,0,0,1,6
SHfHZov,0,0,0,1,0,6
nfpO8wp8,0,0,0,1,0,7
WZHdsm1Vb,0,0,0,0,0,9
rG4wL4,0,0,0,0,0,6
WzK38Uf,0,0,0,0,1,6
aYNtTXj,1,0,0,0,0,6
sdkj9ZicB,0,0,1,0,0,8
lcKowmCd,0,0,0,1,0,7
nLUyR5R,0,0,0,0,1,6
eK85cyd,0,1,0,0,0,6
ACStN5d6Z,1,0,0,0,0,8
erKUky,0,1,0,0,1,4
TNiBhS5,0,0,1,0,0,6
Eyuq3RTEk,0,2,0,0,1,6
oIu3mu9,0,0,1,1,2,3
Hj1wxm,0,0,0,0,0,6
14H8K4SrP,0,0,0,0,0,9
tY1MsKyU,0,0,0,0,1,7
27Vv7ZV,0,0,0,0,0,7
X414mvU,0,0,0,0,1,6
nkNtXv0,0,0,0,0,0,7
XQoBj5pE,0,1,0,1,0,6
X0nq5sP,0,0,0,0,0,7
RikDTBA71,1,0,1,0,0,7
MqrDtN2,0,0,0,0,0,7
RuXLlSgd,0,0,0,0,1,7
OMZWmh,0,0,0,1,0,5
oTUbxVzL,0,0,0,1,1,6
Z7GfjA0J16,1,0,0,0,0,9
NTXYhtNlm,0,0,0,0,0,9
35ubxnuu,0,0,0,0,3,5
tAmkKwjUz,1,0,0,0,1,7
Cngvj6hPY,0,0,0,0,0,9
YeSYV3LWX,0,1,0,0,0,8
NrBDIzm,0,0,1,0,0,6
jXS5TZQ,0,0,0,0,0,7
HVizJjbMkH,0,0,1,0,0,9
Bd1muNA,1,0,0,0,1,5
DjH21S4dRZ,0,0,0,0,0,10
jImYLf9,0,0,1,0,0,6
Fnxira,1,0,1,0,0,4
w2tz5vQx,0,0,0,0,0,8
hedERAnZ,1,2,0,0,0,5
mNKlL6RZ,0,0,0,0,0,8
PoDzfPHnl,0,0,0,1,0,8
3xYeVboQ,0,1,0,1,0,6
ytDNjSGaO,1,0,0,1,0,7
je1KVr,0,1,0,0,0,5
qHIMNp,0,0,1,0,0,5
mAL60mt,1,0,0,0,0,6
qHb80mkV,0,0,0,0,0,8
Puumtv,0,0,0,0,2,4
d5cxKLtpsH,0,0,0,0,0,10
bMd4SH,0,0,0,0,0,6
pQgY7BFLAX,1,0,0,0,0,9
qiJjFq6F,0,0,1,0,0,7
AiXo0qCSX,1,0,1,1,0,6
VIEmk5Qg,0,1,1,0,0,6
ribjXYd,0,0,1,0,0,6
ABIS1i,1,0,2,0,0,3
kxsf2kIBI,0,0,2,0,0,7
cjnbplj,0,0,0,0,0,7
tTwOXnC,0,0,0,1,0,6
TnYj0E7h9x,0,1,0,0,0,9
n8H3x4,0,0,0,0,0,6
161WOgP,0,0,0,1,0,6
MuqYYBgI8l,0,0,1,0,1,8
J39sdpiHqU,0,0,1,0,1,8
ouAuC5Sb,1,0,0,1,2,4
vguEKGI1E,0,2,1,0,1,5
JtbOabA,2,0,0,1,0,4
etIgcS6MGj,0,1,1,0,0,8
Guv9c6Oukd,0,0,0,1,2,7
NiQh04,0,0,1,0,0,5
5aWQ8o,1,0,0,1,0,4
VjUo60ov,0,0,0,2,1,5
0hLJDJ,0,0,0,0,0,6
4nD5aYjnkP,1,0,0,0,0,9
RogYj0zlb9,0,0,0,1,0,9
WDFvtHzMR,0,0,0,0,0,9
i81Oi2C,0,0,2,1,0,4
1ESfl0,0,1,0,0,0,5
EmWxpJYy6,0,1,0,0,0,8
tfPxmL3s7o,0,0,0,1,0,9
OClAnr1,1,0,0,1,0,5
GW8FV0,0,0,0,0,0,6
RAg2gGM,1,0,0,0,0,6
9Tp0z2qKx,0,0,0,0,0,9
WhvrXuA,1,0,0,0,1,5
hHmB0zEv,0,1,0,0,0,7
RkCJbCOXM,0,0,0,1,0,8
JqJTvoc,0,0,0,1,0,6
qldmBZ2ffV,0,0,0,0,0,10
OI1ls4A8Q,1,0,1,1,0,6
DuVzkLL0,0,0,0,0,1,7
uk27Pp,0,0,0,0,1,5
IPahGlX,1,0,1,0,0,5
AAMn4fYY,2,0,0,0,0,6
MRJdJ8qtak,1,0,0,0,0,9
3Z4Mvh8,0,0,0,0,0,7
MQ0qR0,0,0,0,0,0,6
27Ajfrt0,1,0,0,0,0,7
ijiHJmD,0,0,2,0,0,5
KpVORFrLa,1,0,0,1,0,7
OM6Z0IC85,0,0,1,1,0,7
DyZEePrl,0,2,0,0,0,6
Hfe6XUNT8Q,0,1,0,0,1,8
bHf4gbGp,0,0,0,0,0,8
ixyur1yC,0,0,1,0,1,6
Hj5PLMGq,0,0,0,0,0,8
GxG2Tw,0,0,0,0,0,6
hOuYq8zm,0,0,0,1,1,6
npylUz7n7k,0,0,0,0,1,9
Igs7bX,0,0,1,0,0,5
lmTNI3YhB,0,0,1,0,0,8
MMkTY2MRr,0,0,0,0,0,9
sjwkPV,0,0,0,0,0,6
7Ja4CC5REQ,1,1,0,0,0,8
ijxsoIT,0,0,2,1,0,4
UKmykA,1,0,0,0,1,4
zqd3cz5hs,0,0,0,0,0,9
0GOugaqu2,1,0,0,1,2,5
1l4bnl,0,0,0,0,0,6
Oom20bXV,0,0,0,2,0,6
HgMQBIDNmq,0,0,1,0,0,9
ygt2HtO,0,0,0,1,0,6
NtIAsDZMz,1,0,1,0,0,7
02G8uOBe,0,1,0,1,1,5
1flzvh,0,0,0,0,0,6
VVNKaB3,1,0,0,0,0,6
fVNckvh,0,0,0,0,0,7
zTzqKdgp,0,0,0,0,0,8
8vt0nM,0,0,0,0,0,6
EBOwG7mjlT,0,1,0,1,0,8
HJvu5M,0,0,0,0,1,5
cc82yFZTFA,1,0,0,0,0,9
D2QbxDK14,0,0,0,0,0,9
CLHH5mBF,0,0,0,0,0,8
5EVjWm,0,1,0,0,0,5
LtvsQcXoF,0,0,0,1,0,8
1LaxJXfr8Z,1,0,0,0,0,9
Hh6S7entWs,0,1,0,0,0,9
y1zRx3x,0,0,0,0,0,7
YuZ7ejM,0,1,0,0,1,5
cwqNGRC,0,0,0,0,0,7
5tHCRuy,0,0,0,0,1,6
30t88f9vmF,0,0,0,0,0,10
Ptf2odlis,0,0,1,1,0,7
ujBBU66z,0,0,0,0,2,6
tave0AW,2,1,0,0,0,4
IcRDujx,0,0,1,0,1,5
hqmmMSsBw,0,0,0,0,0,9
gnRNpd,0,0,0,0,0,6
ulTIoz,0,0,1,1,1,3
RFncFUipGD,0,0,1,0,1,8
fYBcxWu2V8,0,0,0,0,1,9
UG9MLhS,0,0,0,0,1,6
RhNV9j,0,0,0,0,0,6
tBVFoy,0,0,0,1,0,5
KrQhPOvY50,0,0,0,1,0,9
lbDT3u,0,0,0,0,1,5
IkhqXyu,0,0,1,0,1,5
iEiioBlI,0,1,4,1,0,2
biABuN,1,0,1,0,1,3
nqC4AVDeL,1,1,0,0,0,7
cZVQzG,0,0,0,0,0,6
GDitfS,0,0,1,0,0,5
kPmop2veD,0,1,0,1,0,7
a9nkv0Y,1,0,0,0,0,6
nRCwtS,0,0,0,0,0,6
zF0bTpz,0,0,0,0,0,7
XosEX7,0,1,0,1,0,4
uJflfE058,0,1,0,0,1,7
LkSIo9BUo5,0,0,1,2,1,6
qQ1KLR,0,0,0,0,0,6
diLuSai6EW,1,1,2,0,1,5
R9WSSL1,0,0,0,0,0,7
wVwVetB,0,1,0,0,0,6
TyMk4P08,0,0,0,0,0,8
OPWbXntd,0,0,0,1,0,7
Ce4cDYS9,0,1,0,0,0,7
AS2cOM,1,0,0,1,0,4
uDEYDWi,0,1,1,0,1,4
woWissv,0,0,1,1,0,5
uYT6L4,0,0,0,0,1,5
u4Rloir5,0,0,1,1,1,5
RrncNAw6,1,0,0,0,0,7
dh6tAx,1,0,0,0,0,5
Gx86AnYMn,1,0,0,0,0,8
fvwcWeZIPc,0,1,1,0,0,8
DnumnC,0,0,0,0,1,5
yLgefkNr,0,1,0,0,0,7
DT2F07,0,0,0,0,0,6
mIHrGqXi39,0,0,2,0,0,8
ahDnC59J,1,0,0,0,0,7
KJ4Cp5tP2,0,0,0,0,0,9
Q1n7DN,0,0,0,0,0,6
fjWws1i8Qt,0,0,1,0,0,9
1IprYRIJ3p,0,0,2,0,0,8
ywdJ8WLYn,0,0,0,0,0,9
QNPgRjDnap,1,0,0,0,0,9
aN7f3o9c,1,0,0,1,0,6
sj3Rupd,0,0,0,0,1,6
ydajRWT,1,0,0,0,0,6
zTn2SaxIBD,1,0,1,0,0,8
l1wcMZT,0,0,0,0,0,7
NpRa6m0Vh,1,0,0,0,0,8
Yu54FM1LbM,0,0,0,0,1,9
2MPJ6yV,0,0,0,0,0,7
fYz3c7pf5U,0,0,0,0,1,9
bjIG8wcC,0,0,1,0,0,7
A98HeGpxaz,2,1,0,0,0,7
WvApH46,1,0,0,0,0,6
8OYk7bNM,0,0,0,1,0,7
0BfZJUr,0,0,0,0,1,6
iJ1odyvJ0,0,0,1,1,0,7
wIPSD8a,1,0,1,0,0,5
ddT87GR,0,0,0,0,0,7
uMHR7j9,0,0,0,0,1,6
ZrorA3,1,0,0,1,0,4
7yeThiHWi,0,1,2,0,0,6
DVJIRLV4,0,0,1,0,0,7
19yP0s,0,0,0,0,0,6
rftbywJnp,0,0,0,0,0,9
yaDMkKhv,1,0,0,0,0,7
MJK3LY92bi,0,0,1,0,0,9
tYTuO6hk8,0,0,0,1,1,7
9XEta9rFyS,1,1,0,0,0,8
KlOIIW,0,0,2,1,0,3
r3xfPwZd,0,0,0,0,0,8
mRY7v0JO,0,0,0,1,0,7
9LaczrEKaU,2,1,0,0,1,6
tc1hASQYLi,1,0,1,0,0,8
zi5V6tcS4,0,0,1,0,0,8
frafe0wfP,1,1,0,0,0,7
rvYJC3,0,0,0,0,0,6
OTdYC6Zur0,0,0,0,1,1,8
OZ9Fx1m,0,0,0,1,0,6
zVgnqgW,0,0,0,0,0,7
3HWM7n,0,0,0,0,0,6
lXYYoGcD6h,0,0,0,1,0,9
49g5UtJN71,0,0,0,0,1,9
pMfQPz,0,0,0,0,0,6
R3Y8fN0XL1,0,0,0,0,0,10
8F0JB8VOSO,0,0,0,2,0,8
4FG3iejt,0,1,1,0,0,6
SQPy3hYrt,0,0,0,0,0,9
FvBzwvZF6r,0,0,0,0,0,10
LmopzP,0,0,0,1,0,5
zICLoD0v,0,0,1,1,0,6
kwBsxYs,0,0,0,0,0,7
Gx1zAvZ,1,0,0,0,0,6
GtP3Np,0,0,0,0,0,6
izs4vmYQz,0,0,1,0,0,8
6tfggAa,2,0,0,0,0,5
zc0A0Ar4,2,0,0,0,0,6
Zqwbkl8H,0,0,0,0,0,8
ddBy5H,0,0,0,0,0,6
JWpSE8I,0,1,1,0,0,5
7Yz7PSW0,0,0,0,0,0,8
BqjX6tvN,0,0,0,0,0,8
nBy104EYyI,0,1,1,0,0,8
ztXKAxDWJ,1,0,0,0,0,8
hfrVBm,0,0,0,0,0,6
FIhgzaLY2,1,0,1,0,0,7
nxOQLFa,1,0,0,1,0,5
cay1p6K,1,0,0,0,0,6
JnyAEpk,1,1,0,0,0,5
JYJbpeQs,0,1,0,0,0,7
Q1UziGfU,0,0,1,0,2,5
RZ7MLhb,0,0,0,0,0,7
M2OdYHwF,0,0,0,1,0,7
bjBu0V,0,0,0,0,1,5
1xt2b6o3,0,0,0,1,0,7
J0Jp7s,0,0,0,0,0,6
aW7EFV,1,1,0,0,0,4
9Mdav8zXV,1,0,0,0,0,8
m74GrKer0F,0,1,0,0,0,9
Z7dw6kH8M,0,0,0,0,0,9
Xi4mhOxF0j,0,0,1,1,0,8
Befx0qB4t,0,1,0,0,0,8
DjXDE8,0,1,0,0,0,5
yFPspD,0,0,0,0,0,6
taozi61A21,2,0,1,1,0,6
OTMWti,0,0,1,1,0,4
aJkwUoa1Im,2,0,1,1,1,5
krH8Cak,1,0,0,0,0,6
wLaTdO,1,0,0,1,0,4
T7CPHooqwv,0,0,0,2,0,8
iJZI0IVfqD,0,0,3,0,0,7
fyGJVA3tRg,1,0,0,0,0,9
gqRYxmXV,0,0,0,0,0,8
wE501WXe5,0,2,0,0,0,7
mMzqwtMdG,0,0,0,0,0,9
XHh2Dxt8Lm,0,0,0,0,0,10
Hsttdwq,0,0,0,0,0,7
KKU4gYQDo,0,0,0,1,1,7
lZhccZRo,0,0,0,1,0,7
vnlkkMyqR,0,0,0,0,0,9
nMrrJ6cQM,0,0,0,0,0,9
W2bZrUE,0,1,0,0,1,5
VbZqD7IYst,0,0,1,0,0,9
c0o1te,0,1,0,1,0,4
Z1sB8CO,0,0,0,1,0,6
56Fh69o,0,0,0,1,0,6
NIgHO4O,0,0,1,2,0,4
P0MhkL49s,0,0,0,0,0,9
RLlDGX,0,0,0,0,0,6
UbaNHv6fI,1,0,1,0,1,6
b4AqNtIuL,1,0,1,0,1,6
OJTmzd,0,0,0,1,0,5
cI7gbqsgb9,0,0,1,0,0,9
0TW6bkNNif,0,0,1,0,0,9
KMq02iFhiY,0,0,2,0,0,8
aDzXMOYgp,1,0,0,1,0,7
HijYIpY,0,0,2,0,0,5
OYssEE4,0,2,0,1,0,4
srLUlulY,0,0,0,0,2,6
N3AFZ5Evok,1,1,0,1,0,7
hW2q4tg5n,0,0,0,0,0,9
cXf8ZjRf,0,0,0,0,0,8
d3L5ASu,1,0,0,0,1,5
c0VDPkwlE,0,1,0,0,0,8
QIdufUm,0,0,1,0,2,4
wnMi7gdK,0,0,1,0,0,7
N8FQhY,0,0,0,0,0,6
W91RX6,0,0,0,0,0,6
77VLtLOO,0,0,0,2,0,6
enUF1t,0,1,0,0,1,4
zAQHuZ,1,0,0,0,1,4
KEBmfz,0,1,0,0,0,5
cBzYQR,0,0,0,0,0,6
eN26Bp4t7,0,1,0,0,0,8
5fPaFFi,1,0,1,0,0,5
Nn6aECEmsv,1,2,0,0,0,7
ObIRzcYf6Z,0,0,1,1,0,8
Ldyyk81rOB,0,0,0,1,0,9
U2qS96sI,0,0,1,0,1,6
NKNoIyc,0,0,1,1,0,5
uNKAmH,1,0,0,0,1,4
R4nhet,0,1,0,0,0,5
1uJng2cz,0,0,0,0,1,7
XfzcWl,0,0,0,0,0,6
EAZg8OzBU,1,1,0,1,1,5
cKx6Rlv,0,0,0,0,0,7
jSGMq1,0,0,0,0,0,6
mNFBr7,0,0,0,0,0,6
JheMm1Ag,1,1,0,0,0,6
7jjM5XMeCP,0,1,0,0,0,9
azoJYq,1,0,0,1,0,4
EqMceRekX,0,3,0,0,0,6
4n20O9MtKM,0,0,0,1,0,9
0tcrU5b,0,0,0,0,1,6
H6tllN,0,0,0,0,0,6
eVI5RJFOC,0,1,1,1,0,6
WhHNOgn1wu,0,0,0,1,1,8
caGqhCsi8W,1,0,1,0,0,8
K0ca4w,1,0,0,0,0,5
e8KDSE,0,2,0,0,0,4
193SrBe1,0,1,0,0,0,7
LLaZV6Pf,1,0,0,0,0,7
66tC7frQl,0,0,0,0,0,9
oZsdUcDI,0,0,1,1,1,5
Ur9G5WNMe2,0,1,0,0,1,8
kymETY,0,1,0,0,0,5
AmlGFcD0NA,2,0,0,0,0,8
pTZW91hh,0,0,0,0,0,8
O0palZ,1,0,0,1,0,4
CC8imWq,0,0,1,0,0,6
C4QgYhnO,0,0,0,1,0,7
1Z8QXNme,0,1,0,0,0,7
KHy37bedtV,0,1,0,0,0,9
xtI6Ya,1,0,1,0,0,4
gCQahAXCce,2,1,0,0,0,7
WHgD2Wy,0,0,0,0,0,7
Wt3nax4,1,0,0,0,0,6
OziJFtxF1c,0,0,1,1,0,8
6OyQ9HxezL,0,1,0,1,0,8
cNwuaq,1,0,0,0,1,4
72yniZMI,0,0,2,0,0,6
Y0C5Nrcn6h,0,0,0,0,0,10
Lew7BKdH,0,1,0,0,0,7
qsDy0GKut6,0,0,0,0,1,9
G9JVQSjNtp,0,0,0,0,0,10
hOeMCTY,0,1,0,1,0,5
iIfJ113gPE,0,1,2,0,0,7
Au3lzwnR1,1,0,0,0,1,7
KC9yEh8EP,0,2,0,0,0,7
JajuaUxl,2,0,0,0,2,4
dnKQLZ,0,0,0,0,0,6
OLMH6DGJ,0,0,0,1,0,7
sWSLOye,0,1,0,1,0,5
JhdSUZi,0,0,1,0,1,5
RH1u4dgVe,0,1,0,0,1,7
yMnZM0,0,0,0,0,0,6
FGAsq8,1,0,0,0,0,5
iC2B0rUIxQ,0,0,2,0,1,7
KH2S7Ycrw,0,0,0,0,0,9
t8WBcTpI,0,0,1,0,0,7
24W3iy7O,0,0,1,1,0,6
2jNn6G3mG1,0,0,0,0,0,10
vGTu5AY4,1,0,0,0,1,6
X60xLIsfH,0,0,1,0,0,8
x52dSsum,0,0,0,0,1,7
v5XXWs0P,0,0,0,0,0,8
hcdE6o,0,1,0,1,0,4
x3ZZLmQ,0,0,0,0,0,7
OwNQc2gLw,0,0,0,1,0,8
uMOu5O1F,0,0,0,2,2,4
sB9l8uAhkC,1,0,0,0,1,8
i8mpxeQAOC,1,1,1,1,0,6
GCno6gvl,0,0,0,1,0,7
NuJQRN,0,0,0,0,1,5
qZvmMV,0,0,0,0,0,6
fHeO47rL,0,1,0,1,0,6
j8nFd0Mhs,0,0,0,0,0,9
jjqfL1m,0,0,0,0,0,7
4rHnsAKxZ,1,0,0,0,0,8
Tg0DM7,0,0,0,0,0,6
R6AS6i06,1,0,1,0,0,6
RXZMbu,0,0,0,0,1,5
B3WSIgJ6r,0,0,1,0,0,8
1rtMBt7FgR,0,0,0,0,0,10
z6HYBJtP,0,0,0,0,0,8
nhbmcyMXDw,0,0,0,0,0,10
CgGAxJgJM,1,0,0,0,0,8
kLHJ1gmVG,0,0,0,0,0,9
LAPJbO,1,0,0,1,0,4
KI656Sv,0,0,1,0,0,6
XQy3FCiZ4,0,0,1,0,0,8
hRtSZdOVN,0,0,0,1,0,8
IBJtxMr,0,0,1,0,0,6
TbrPEWLv,0,1,0,0,0,7
fIH7y42,0,0,1,0,0,6
MywFNSucv,0,0,0,0,1,8
oCxp6bJ,0,0,0,1,0,6
dqkzfn6JD,0,0,0,0,0,9
oXuzItVBvY,0,0,1,1,1,7
g08q0z,0,0,0,0,0,6
nThrL3ug,0,0,0,0,1,7
fV9PRTm3,0,0,0,0,0,8
u49MZx3U,0,0,0,0,2,6
AxlHnYN,1,0,0,0,0,6
7hgCcXNRrv,0,0,0,0,0,10
3WkPX0M,0,0,0,0,0,7
ferfwCr,0,1,0,0,0,6
9MuSHH9,0,0,0,0,1,6
tlteZW,0,1,0,0,0,5
rg1mq5v,0,0,0,0,0,7
MrjAvrKj,1,0,0,0,0,7
SOXxAO,1,0,0,2,0,3
aoRMG6,1,0,0,1,0,4
v9XSrl,0,0,0,0,0,6
yyYXXPH,0,0,0,0,0,7
a3yOQio,1,0,1,2,0,3
Xabkz0w,1,0,0,0,0,6
mLaxnUEE,1,2,0,0,1,4
7sev2gS0t,0,1,0,0,0,8
EJEVcc3N6,0,2,0,0,0,7
far2VxuPMC,1,0,0,0,1,8
NyYNmaGv,1,0,0,0,0,7
flAtRaGsLt,2,0,0,0,0,8
t9rbNUhl3,0,0,0,0,1,8
jrhIabXp,1,0,1,0,0,6
zbQuLskql,0,0,0,0,1,8
UhZkZCR5,0,0,0,0,1,7
AL6ybDRY8,1,0,0,0,0,8
ZD12KQpyCj,0,0,0,0,0,10
38guzNeFb,0,1,0,0,1,7
7OUNG9,0,0,0,1,1,4
x0BrGq,0,0,0,0,0,6
4AQMBJp,1,0,0,0,0,6
2s7jW5tk,0,0,0,0,0,8
FbKGeC,0,1,0,0,0,5
6ByMWy,0,0,0,0,0,6
8xf5wMtp,0,0,0,0,0,8
qnVQwgmf,0,0,0,0,0,8
0z0NUlP,0,0,0,0,1,6
Bbpp7q911,0,0,0,0,0,9
ShkcKM65My,0,0,0,0,0,10
dyw53IT,0,0,1,0,0,6
x2HrnAj,1,0,0,0,0,6
nfTHOtv5,0,0,0,1,0,7
z3jTrF,0,0,0,0,0,6
zYU4k3Girs,0,0,1,0,1,8
QaAz3Ur,2,0,0,0,1,4
0tCqyw,0,0,0,0,0,6
DpSgM8,0,0,0,0,0,6
JthqsUnc,0,0,0,0,1,7
1dRxWBLTR,0,0,0,0,0,9
